areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04
All Downtown,Manhattan,submarket,4400.000,4450.000,4400.000,4400.000,4400.000,4295.000,4295.000,4500.000,5000.000,5200.000,5250.000,5000.000,4995.000,5350.000,5100.000,4800.000,4693.000,4583.000,4500.000,4500.000,4755.000,4995.000,4900.000,4795.000,4895.000,4995.000,4950.000,4768.000,4595.000,4750.000,4595.000,4750.000,4860.000,4850.000,4950.000,4800.000,4695.000,4773.000,4900.000,4600.000,4500.000,4500.000,4400.000,4500.000,4595.000,4695.000,5000.000,5000.000,4995.000,4800.000,4790.000,4750.000,4595.000,4500.000,4300.000,4295.000,4485.000,4495.000,4400.000,4450.000,4500.000,4738.000,4750.000,4600.000,4650.000,4495.000,4351.000,4495.000,4810.000,4950.000,5000.000,5000.000,4995.000,4950.000,4900.000,4800.000,4600.000,4750.000,4730.000,4750.000,4800.000,4700.000,4712.000,4592.000,4700.000,4750.000,4674.000,4510.000,4500.000,4298.000,4250.000,4295.000,4500.000,4535.000,4600.000,4695.000,4595.000,4650.000,4650.000,4444.000,4395.000,4295.000,4200.000,4200.000,4467.000,4569.000,4659.000,4750.000,4995.000,4781.000,4471.000,4334.000
All Midtown,Manhattan,submarket,4700.000,4500.000,4500.000,4495.000,4500.000,4500.000,4495.000,4500.000,4666.000,4800.000,4800.000,4963.000,5000.000,5000.000,5000.000,5000.000,4995.000,4995.000,4950.000,4950.000,5000.000,5000.000,5100.000,5000.000,5150.000,5150.000,5250.000,5220.000,5298.000,5450.000,5025.000,5195.000,5115.000,5000.000,4900.000,4800.000,4900.000,5000.000,4950.000,4950.000,4998.000,4945.000,4800.000,4740.000,5000.000,5000.000,5000.000,4995.000,4900.000,4950.000,4950.000,4895.000,4850.000,5000.000,5000.000,4950.000,5000.000,5000.000,5098.000,5030.000,5000.000,5000.000,5100.000,5083.000,5200.000,5100.000,5130.000,5088.000,5075.000,5032.000,5000.000,5098.000,5108.000,5177.000,5095.000,5120.000,5000.000,5000.000,4999.000,4918.000,4999.000,4995.000,4900.000,4900.000,4950.000,5000.000,5000.000,4950.000,4995.000,4950.000,4800.000,4800.000,4968.000,5000.000,4595.000,4595.000,4750.000,4825.000,4750.000,4750.000,4620.000,4745.000,4600.000,4708.000,4685.000,4723.000,4798.000,4800.000,4871.000,4901.000,4800.000,4874.000
All Upper East Side,Manhattan,submarket,3500.000,3650.000,3800.000,3950.000,3965.000,3900.000,3800.000,3700.000,3795.000,3795.000,3950.000,3950.000,3900.000,3888.000,3798.000,3987.000,3895.000,3983.000,3900.000,3850.000,4000.000,3995.000,3990.000,4000.000,4000.000,3995.000,3900.000,3858.000,3750.000,3775.000,3850.000,3695.000,3950.000,3950.000,4095.000,3925.000,4100.000,4050.000,3785.000,3725.000,3600.000,3500.000,3350.000,3500.000,3695.000,3550.000,3850.000,3695.000,3600.000,3895.000,3600.000,3600.000,3500.000,3550.000,3498.000,3295.000,3250.000,3495.000,3700.000,3950.000,4100.000,4000.000,4000.000,3825.000,3695.000,3600.000,3595.000,3650.000,3893.000,3795.000,3550.000,3800.000,3900.000,4175.000,4108.000,3980.000,3750.000,3650.000,3695.000,3500.000,3695.000,3600.000,3695.000,3800.000,3850.000,3995.000,3685.000,3500.000,3595.000,3595.000,3595.000,3700.000,4125.000,3850.000,4145.000,4375.000,4132.000,4114.000,3875.000,3495.000,3450.000,3395.000,3495.000,3495.000,3600.000,3500.000,3650.000,3870.000,3950.000,3950.000,3800.000,3685.000
All Upper Manhattan,Manhattan,submarket,2000.000,1985.000,1950.000,1950.000,1975.000,1975.000,2000.000,2000.000,2000.000,2000.000,2100.000,2000.000,2000.000,2000.000,2200.000,2100.000,2200.000,2300.000,2370.000,2370.000,2373.000,2300.000,2300.000,2300.000,2300.000,2200.000,2225.000,2200.000,2200.000,2200.000,2250.000,2275.000,2295.000,2250.000,2200.000,2173.000,2195.000,2200.000,2300.000,2200.000,2200.000,2200.000,2300.000,2380.000,2400.000,2300.000,2295.000,2200.000,2200.000,2200.000,2200.000,2255.000,2200.000,2200.000,2200.000,2300.000,2300.000,2295.000,2242.000,2250.000,2250.000,2250.000,2250.000,2250.000,2300.000,2371.000,2400.000,2400.000,2400.000,2400.000,2400.000,2350.000,2395.000,2400.000,2400.000,2400.000,2400.000,2350.000,2400.000,2450.000,2475.000,2450.000,2400.000,2400.000,2400.000,2363.000,2400.000,2400.000,2400.000,2425.000,2450.000,2493.000,2495.000,2450.000,2399.000,2395.000,2380.000,2395.000,2395.000,2475.000,2500.000,2500.000,2500.000,2495.000,2475.000,2400.000,2395.000,2400.000,2450.000,2496.000,2500.000,2500.000
All Upper West Side,Manhattan,submarket,4200.000,4100.000,4100.000,4498.000,4500.000,4500.000,3995.000,4000.000,4250.000,4300.000,4250.000,4400.000,4300.000,4500.000,4500.000,4500.000,4750.000,4650.000,4500.000,4600.000,4798.000,4750.000,4950.000,4950.000,4875.000,4750.000,4570.000,4800.000,4800.000,4595.000,4600.000,4750.000,4900.000,4900.000,4925.000,4950.000,4950.000,5000.000,4950.000,4695.000,4695.000,4500.000,4495.000,4438.000,4650.000,4805.000,4700.000,4715.000,4608.000,4600.000,4500.000,4800.000,4995.000,4700.000,4295.000,4350.000,4500.000,4450.000,4450.000,4350.000,4590.000,4575.000,4525.000,4523.000,4500.000,4375.000,4300.000,4463.000,4785.000,4892.000,4998.000,5000.000,4995.000,4995.000,4800.000,4950.000,4878.000,4500.000,4503.000,4552.000,4528.000,4500.000,4615.000,4650.000,4625.000,4700.000,4500.000,4500.000,4500.000,4495.000,4250.000,4217.000,4450.000,4497.000,4500.000,4650.000,4781.000,4891.000,4500.000,4500.000,4500.000,4500.000,4400.000,4500.000,4577.000,4725.000,4579.000,4500.000,4656.000,4600.000,4336.000,4250.000
Astoria,Queens,neighborhood,1700.000,1800.000,1800.000,1875.000,1950.000,1907.000,1875.000,2000.000,1798.000,1898.000,1775.000,2000.000,2050.000,2000.000,2150.000,2250.000,2300.000,2000.000,2000.000,2000.000,2150.000,2300.000,2400.000,2600.000,2550.000,2450.000,2225.000,2250.000,2500.000,2500.000,2500.000,2500.000,2425.000,2395.000,2100.000,2100.000,2100.000,2000.000,2000.000,2200.000,2300.000,2300.000,2350.000,2200.000,2250.000,2200.000,2200.000,2150.000,2200.000,2100.000,2100.000,2200.000,2200.000,2200.000,2300.000,2300.000,2300.000,2300.000,2250.000,2200.000,2373.000,2400.000,2365.000,2400.000,2300.000,2300.000,2300.000,2386.000,2400.000,2350.000,2300.000,2300.000,2300.000,2350.000,2400.000,2350.000,2380.000,2400.000,2400.000,2400.000,2400.000,2344.000,2350.000,2383.000,2300.000,2300.000,2300.000,2300.000,2300.000,2350.000,2397.000,2350.000,2300.000,2300.000,2300.000,2300.000,2300.000,2299.000,2300.000,2294.000,2300.000,2299.000,2300.000,2300.000,2300.000,2300.000,2300.000,2250.000,2300.000,2299.000,2300.000,2300.000
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.000,,,,,,,,,,,,,,,,1895.000,1850.000,1775.000,1800.000,1925.000,1925.000,,,,,,,1900.000,1900.000,1948.000,2023.000,1950.000,1900.000,1795.000,1800.000,1799.000,1725.000,1799.000,1850.000,1900.000,1850.000,1850.000
Battery Park City,Manhattan,neighborhood,4615.000,4888.000,4600.000,4975.000,5125.000,5823.000,5595.000,5445.000,5500.000,5400.000,5650.000,5495.000,5450.000,5238.000,5695.000,5695.000,5718.000,5700.000,5648.000,5600.000,5458.000,5713.000,5310.000,5380.000,5500.000,5650.000,5423.000,5800.000,5950.000,6000.000,6250.000,6050.000,5995.000,5995.000,5800.000,6250.000,6250.000,6345.000,6358.000,6500.000,6623.000,6548.000,6173.000,5995.000,6000.000,5950.000,6000.000,6198.000,6148.000,6000.000,6200.000,6000.000,6295.000,6625.000,6295.000,6295.000,6450.000,6373.000,5300.000,5995.000,6000.000,6500.000,6598.000,6698.000,6500.000,6495.000,6750.000,6900.000,6850.000,6675.000,6500.000,6650.000,6650.000,6500.000,6650.000,6500.000,6903.000,6785.000,6600.000,6585.000,6500.000,6500.000,6525.000,6500.000,6898.000,6800.000,6900.000,7078.000,7000.000,6995.000,6915.000,6780.000,6900.000,6500.000,6687.000,6687.000,6200.000,5975.000,6100.000,6900.000,6948.000,6923.000,6850.000,6904.000,6302.000,6450.000,6470.000,6490.000,6950.000,6838.000,6875.000,6838.000
Bay Ridge,Brooklyn,neighborhood,1600.000,1675.000,1625.000,1550.000,,1650.000,1575.000,,1575.000,1600.000,1600.000,1600.000,1500.000,1500.000,1500.000,1500.000,1650.000,1750.000,1800.000,1825.000,1825.000,1799.000,1825.000,,,2050.000,1900.000,1825.000,,,,2325.000,2100.000,1990.000,1950.000,2350.000,2000.000,1900.000,2095.000,2095.000,2000.000,1998.000,2000.000,2000.000,2000.000,1900.000,1900.000,1900.000,2000.000,2000.000,1950.000,1863.000,2000.000,2198.000,2095.000,2048.000,2095.000,2100.000,2100.000,2100.000,2100.000,2100.000,2050.000,2100.000,2100.000,2075.000,2225.000,2200.000,2200.000,2200.000,2063.000,2050.000,2100.000,2195.000,2200.000,2200.000,2200.000,2200.000,2200.000,2285.000,2200.000,2150.000,2200.000,2250.000,2200.000,2150.000,2100.000,2200.000,2200.000,2200.000,2200.000,2050.000,2100.000,2125.000,2150.000,2150.000,2150.000,2100.000,2100.000,2100.000,2100.000,2200.000,2150.000,2150.000,2200.000,2100.000,2150.000,2100.000,2200.000,2200.000,2200.000,2200.000
Baychester,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayside,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850.000,1850.000,,2138.000,,2100.000,2050.000,,,1925.000,1925.000,1900.000,,,,,,,,,,,2200.000,,,,2200.000,,,2200.000,2200.000,2200.000,,2375.000,2400.000,2325.000,,2400.000,2549.000,2550.000,2150.000,2175.000,,2200.000,,,,,,,2250.000,2200.000,2400.000,2275.000,,2300.000,2075.000,2150.000,2400.000,2250.000,2150.000
Bedford Park,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.000,1569.000,,1700.000,1700.000,1700.000,1700.000,1700.000,,,,1527.000,1575.000,1628.000,,,,,,,1750.000,,,,,1725.000,1725.000,1800.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bedford-Stuyvesant,Brooklyn,neighborhood,1675.000,1650.000,1600.000,1650.000,1700.000,1600.000,1600.000,1525.000,1525.000,1650.000,1700.000,1700.000,1650.000,1600.000,1550.000,1525.000,1550.000,1700.000,1700.000,1700.000,1700.000,1600.000,1795.000,1700.000,1675.000,1700.000,1850.000,1850.000,1800.000,1713.000,1738.000,1773.000,1800.000,1800.000,1800.000,1975.000,1998.000,2000.000,1950.000,1975.000,2000.000,2000.000,2100.000,2100.000,2025.000,2000.000,2000.000,1995.000,1975.000,1951.000,2000.000,2000.000,2000.000,2100.000,2200.000,2200.000,2200.000,2100.000,2150.000,2197.000,2100.000,2150.000,2200.000,2200.000,2239.000,2297.000,2300.000,2350.000,2300.000,2250.000,2291.000,2250.000,2275.000,2295.000,2295.000,2350.000,2400.000,2400.000,2399.000,2395.000,2395.000,2350.000,2349.000,2300.000,2300.000,2345.000,2300.000,2300.000,2350.000,2350.000,2395.000,2399.000,2350.000,2350.000,2350.000,2300.000,2299.000,2290.000,2303.000,2399.000,2400.000,2400.000,2463.000,2500.000,2514.000,2500.000,2475.000,2495.000,2399.000,2399.000,2490.000,2450.000
Bellerose,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belmont,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.000,1600.000,,,,,,,,1363.000,1325.000,1250.000,1250.000,,,,,,,,,,,,1350.000,,,,,,,,,,,1800.000,1738.000,1660.000,,,,,1550.000,,,,,1700.000,,,1680.000,1655.000,1650.000,1695.000,1700.000,1699.000,1690.000,1700.000,1750.000,1750.000,1750.000,1725.000,,1700.000,1650.000,1613.000,1675.000,,1800.000,1800.000,1800.000,1800.000,1800.000,1700.000,1700.000,1700.000,,1850.000,1850.000
Bensonhurst,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500.000,,,,,,,,,,,,,,,,1575.000,1600.000,1695.000,1699.000,1695.000,1650.000,1750.000,1750.000,1750.000,1700.000,1700.000,1700.000,1695.000,1700.000,1700.000,1700.000,1700.000,1763.000,1698.000,1685.000,1688.000,1773.000,,1700.000,1950.000,,2000.000,1875.000,1900.000,1800.000,1750.000,1995.000,1900.000,1825.000,2000.000,1900.000,1875.000,1875.000,,1800.000,1850.000,1800.000,1825.000,1750.000,1773.000,1850.000,1850.000,1995.000,1900.000,1875.000,1875.000,1899.000,1890.000,1899.000,1975.000,1900.000,1900.000,2000.000,1950.000
Bergen Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boerum Hill,Brooklyn,neighborhood,3000.000,3000.000,2999.000,2600.000,,3163.000,3163.000,3000.000,3000.000,,,,,3200.000,,3525.000,3750.000,2800.000,2800.000,3200.000,,,3398.000,3898.000,3625.000,3725.000,3175.000,3350.000,3013.000,2850.000,2995.000,,3400.000,3250.000,3250.000,3250.000,,3500.000,2950.000,3425.000,3450.000,3625.000,3275.000,4000.000,4495.000,3690.000,3200.000,3050.000,3200.000,3450.000,3450.000,3600.000,3521.000,3200.000,3400.000,3500.000,3400.000,3250.000,3148.000,3200.000,3200.000,3270.000,3350.000,3200.000,3150.000,3150.000,3400.000,3600.000,3600.000,3263.000,3000.000,3000.000,3000.000,3695.000,3625.000,3750.000,3788.000,3500.000,3688.000,3400.000,3350.000,3300.000,3000.000,3100.000,3075.000,3200.000,3300.000,3077.000,3500.000,3300.000,3666.000,3500.000,3400.000,3350.000,3250.000,3350.000,3340.000,3400.000,3300.000,3485.000,3550.000,3798.000,3600.000,3600.000,3900.000,3850.000,3800.000,3518.000,3450.000,3200.000,3650.000,3950.000
Borough Park,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.000,1825.000,,1700.000,,,1799.000,1750.000,1750.000,1675.000,1700.000,1650.000,1725.000,1800.000,1950.000,1750.000,1900.000,1925.000,1900.000,1925.000,1875.000,1795.000,1825.000,1975.000,1800.000,1750.000,1775.000,1800.000,1900.000,1925.000,1988.000,2250.000,2000.000,1900.000,2050.000,2000.000,1900.000,1850.000,1925.000,1988.000,2000.000,1850.000,2000.000,2099.000,1997.000,1895.000,1800.000,1795.000,,1850.000,1850.000,1850.000,1875.000,1899.000,1925.000,1850.000,1900.000,1895.000,1875.000,1895.000,1950.000,1900.000,1965.000
Briarwood,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795.000,1900.000,,,1875.000,,1900.000,1850.000,1848.000,1913.000,2150.000,1975.000,1975.000,2150.000,2145.000,2145.000,2100.000,2000.000,2145.000,2198.000,2100.000,,1925.000,1925.000,2025.000,2095.000,2148.000,1900.000,1800.000,1899.000,1899.000,1900.000,1899.000,1899.000,1913.000,1995.000,1950.000,1950.000,1899.000,1899.000,1985.000,1924.000,2050.000,2000.000,1899.000,2100.000,2123.000,2025.000,1999.000,2025.000,2050.000,2049.000,1999.000,1999.000,2049.000,2022.000
Brighton Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2400.000,,2475.000,1900.000,1825.000,1895.000,2375.000,2500.000,2223.000,2208.000,2200.000,2273.000,2223.000,2245.000,1800.000,2100.000,2342.000,2342.000,2350.000,2375.000,2350.000,2400.000,2350.000,2273.000,1775.000,1873.000,2073.000,2350.000,2400.000,2450.000,2450.000,2425.000,2450.000,2500.000,2400.000,2400.000,2400.000,2395.000,2300.000,2200.000,2240.000,2548.000,2548.000,2498.000,2500.000,2500.000,2350.000,2500.000,2700.000,2600.000,2650.000,2525.000,2500.000,2495.000,2495.000,2599.000,2395.000,2250.000,2299.000,2338.000,2295.000,2250.000,2225.000,2250.000,2295.000,2397.000,2448.000,2550.000,2350.000,2473.000,2497.000,2493.000,2400.000,2400.000,2388.000,2350.000,2271.000
Bronx,Bronx,borough,2100.000,2100.000,2000.000,1950.000,1950.000,1998.000,1975.000,2200.000,1800.000,1550.000,1850.000,1850.000,1850.000,1850.000,2100.000,1825.000,1700.000,1488.000,1775.000,1725.000,1725.000,1700.000,1600.000,1700.000,1750.000,2138.000,1898.000,1800.000,1775.000,1750.000,1750.000,1750.000,1750.000,1700.000,1650.000,1700.000,1600.000,1550.000,1500.000,1650.000,1700.000,1750.000,1750.000,1800.000,1750.000,1500.000,1500.000,1525.000,1550.000,1800.000,1899.000,1850.000,1875.000,1910.000,1800.000,1725.000,1695.000,1600.000,1695.000,1650.000,1665.000,1600.000,1700.000,1700.000,1600.000,1649.000,1695.000,1695.000,1700.000,1700.000,1800.000,1813.000,1800.000,1800.000,1800.000,1750.000,1800.000,1800.000,1800.000,1850.000,1800.000,1775.000,1800.000,1850.000,1800.000,1795.000,1850.000,1850.000,1875.000,1850.000,1850.000,1900.000,1900.000,1895.000,1842.000,1860.000,1900.000,1913.000,1961.000,2017.000,2000.000,2000.000,1950.000,1950.000,1995.000,1995.000,1950.000,1895.000,1950.000,2000.000,2000.000,1975.000
Bronxwood,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.000,,,,,,,,,,,,,,,,,,,,,,1750.000,,,,
Brooklyn,Brooklyn,borough,2374.000,2354.000,2306.000,2300.000,2406.000,2500.000,2550.000,2550.000,2695.000,2650.000,2500.000,2400.000,2300.000,2300.000,2300.000,2338.000,2440.000,2500.000,2500.000,2600.000,2700.000,2650.000,2600.000,2650.000,2650.000,2600.000,2650.000,2700.000,2700.000,2750.000,2700.000,2700.000,2900.000,2900.000,2873.000,2995.000,2750.000,2700.000,2600.000,2650.000,2700.000,2800.000,2700.000,2797.000,2795.000,2700.000,2600.000,2660.000,2600.000,2599.000,2600.000,2650.000,2650.000,2699.000,2650.000,2675.000,2600.000,2600.000,2599.000,2550.000,2550.000,2598.000,2550.000,2500.000,2500.000,2550.000,2600.000,2600.000,2600.000,2500.000,2500.000,2500.000,2599.000,2599.000,2595.000,2600.000,2650.000,2650.000,2621.000,2600.000,2600.000,2550.000,2500.000,2500.000,2500.000,2500.000,2495.000,2500.000,2500.000,2500.000,2500.000,2600.000,2500.000,2500.000,2495.000,2450.000,2400.000,2400.000,2495.000,2500.000,2500.000,2595.000,2600.000,2600.000,2600.000,2500.000,2499.000,2499.000,2499.000,2500.000,2500.000,2500.000
Brooklyn Heights,Brooklyn,neighborhood,3850.000,3900.000,5500.000,4000.000,4000.000,4400.000,3550.000,3500.000,3650.000,3750.000,3850.000,4050.000,4500.000,4500.000,4500.000,4000.000,3825.000,5000.000,4625.000,4000.000,4000.000,4000.000,4700.000,4600.000,4600.000,5000.000,4250.000,4800.000,4900.000,4125.000,3650.000,4250.000,4500.000,4000.000,4500.000,4675.000,3795.000,4000.000,4100.000,4100.000,4000.000,4250.000,4250.000,4200.000,4250.000,4248.000,4372.000,4650.000,4500.000,4348.000,4400.000,4348.000,4298.000,4273.000,4200.000,4500.000,4295.000,4000.000,3975.000,3950.000,4100.000,3800.000,4000.000,4360.000,4328.000,4273.000,4200.000,4695.000,4495.000,4088.000,4250.000,4295.000,4250.000,4200.000,4248.000,4295.000,4400.000,4200.000,3999.000,4200.000,4300.000,4002.000,4039.000,4400.000,4388.000,4200.000,4150.000,4348.000,4495.000,4500.000,4495.000,4539.000,4563.000,4799.000,4300.000,4497.000,4380.000,4499.000,4300.000,4827.000,4200.000,4148.000,4475.000,4738.000,4695.000,4500.000,3995.000,4348.000,5301.000,5714.000,5281.000,5200.000
Brookville,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownsville,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475.000,1475.000,,,,,,,,,,,,,,,,,,,,,,,,,1650.000,1625.000,1650.000,1748.000,1700.000,1700.000,1648.000,1600.000,1625.000,1600.000,1615.000,1700.000,1725.000,1700.000,1700.000,1650.000,1650.000,1650.000,1650.000,1650.000,1750.000,1750.000,1725.000,1700.000,1700.000,1750.000,1750.000,1750.000,1713.000,1750.000,1798.000,1800.000,1750.000,1750.000,1750.000,1800.000,1750.000,1795.000,1800.000,1800.000,1813.000,1813.000,1850.000,1850.000,1850.000,1863.000,1950.000,1900.000,1900.000
Bushwick,Brooklyn,neighborhood,,,,1645.000,1575.000,,,,,,,1598.000,1695.000,1695.000,1695.000,1695.000,1695.000,1500.000,1600.000,1500.000,1500.000,,1600.000,1750.000,1600.000,1699.000,1700.000,1675.000,1750.000,1750.000,2000.000,1750.000,1775.000,1750.000,1750.000,1750.000,1950.000,1995.000,2000.000,2200.000,2100.000,2100.000,2100.000,2100.000,2185.000,2200.000,2050.000,2075.000,2073.000,2100.000,2100.000,2185.000,2199.000,2185.000,2200.000,2238.000,2200.000,2200.000,2200.000,2100.000,2150.000,2200.000,2200.000,2250.000,2375.000,2400.000,2300.000,2375.000,2342.000,2295.000,2299.000,2200.000,2300.000,2400.000,2300.000,2300.000,2350.000,2400.000,2399.000,2395.000,2350.000,2300.000,2300.000,2300.000,2280.000,2300.000,2299.000,2300.000,2350.000,2350.000,2350.000,2350.000,2350.000,2347.000,2300.000,2300.000,2271.000,2295.000,2295.000,2350.000,2400.000,2400.000,2490.000,2484.000,2435.000,2400.000,2395.000,2350.000,2399.000,2465.000,2446.000,2500.000
Cambria Heights,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canarsie,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.000,,,,,,,,,,,1813.000,1800.000,1800.000,,,1800.000,1700.000,,,1800.000,,,,1800.000,1800.000,,,,1800.000,1825.000,1875.000,,,1900.000,,1900.000,1900.000,1900.000,1900.000,1900.000,1995.000,1945.000
Carroll Gardens,Brooklyn,neighborhood,2300.000,2275.000,2300.000,2300.000,2300.000,2375.000,2500.000,2450.000,2600.000,,2300.000,,2900.000,2900.000,,2500.000,3125.000,2350.000,2325.000,2400.000,3300.000,3325.000,3400.000,3350.000,3500.000,2800.000,3000.000,3400.000,3575.000,3600.000,3600.000,4150.000,3651.000,3602.000,3850.000,4150.000,3900.000,3800.000,3800.000,3675.000,3300.000,3200.000,3250.000,3350.000,3000.000,3200.000,3800.000,3600.000,2900.000,2900.000,3000.000,3200.000,3650.000,3200.000,3100.000,3000.000,3500.000,3600.000,3500.000,3250.000,3250.000,2948.000,3250.000,3200.000,3200.000,3350.000,3400.000,3575.000,3538.000,3350.000,3400.000,3348.000,3478.000,3200.000,3300.000,3250.000,3350.000,3200.000,3450.000,3200.000,3023.000,3100.000,3000.000,3050.000,3200.000,3100.000,3100.000,3200.000,3100.000,3254.000,3400.000,3400.000,2938.000,3225.000,3200.000,3000.000,2995.000,3250.000,3250.000,3300.000,3400.000,3250.000,3225.000,3500.000,3350.000,3300.000,3350.000,3400.000,3325.000,3400.000,3325.000,3800.000
Castle Hill,Bronx,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750.000,,,,,,,,,,,,,,,,,,,,,1775.000,1775.000,,,1795.000,,,1900.000,,,,,,1900.000,1900.000,1900.000,,,,,,,,1750.000,1750.000,,,,,,,
Central Harlem,Manhattan,neighborhood,2100.000,2100.000,2000.000,2000.000,2000.000,2000.000,1998.000,1975.000,1995.000,2000.000,2000.000,1900.000,1948.000,2000.000,2300.000,2300.000,2395.000,2400.000,2500.000,2500.000,2400.000,2300.000,2400.000,2400.000,2300.000,2438.000,2400.000,2425.000,2595.000,2495.000,2400.000,2500.000,2500.000,2400.000,2400.000,2300.000,2400.000,2400.000,2400.000,2350.000,2300.000,2399.000,2500.000,2595.000,2695.000,2650.000,2699.000,2455.000,2423.000,2500.000,2473.000,2500.000,2400.000,2350.000,2400.000,2500.000,2500.000,2600.000,2500.000,2500.000,2595.000,2600.000,2500.000,2400.000,2400.000,2500.000,2500.000,2500.000,2500.000,2500.000,2500.000,2544.000,2500.000,2500.000,2550.000,2538.000,2500.000,2500.000,2550.000,2600.000,2600.000,2606.000,2571.000,2550.000,2550.000,2500.000,2500.000,2550.000,2500.000,2500.000,2611.000,2700.000,2650.000,2550.000,2595.000,2595.000,2625.000,2638.000,2625.000,2750.000,2749.000,2795.000,2750.000,2800.000,2750.000,2600.000,2595.000,2563.000,2650.000,2700.000,2800.000,2800.000
